gameid,game_name,publisher,genre,price
00001,half - life 2,vu games,Action,9.99
00002,grand theft auto V,rockstar games,Open World,59.99
00003,The Orange Box,EA Games,Mixed,19.99
00004,Half-Life,Sierra Ent.,Action,9.99
00005,BioShock,2k Games,Adventrure,19.99
00006,Baldur's Gate II,Interplay,RPG,19.99
00007,Portal 2,Valve Software,puzzle adventure,19.99
00008,The elder Scrolls V: Skyrim,Bethesda Softworks,RPG,39.99
00009,Mass Effect 2,Electronic Arts,Action,19.99
00010,Grand Theft Auto: Vice City,rockstar games,Open World,9.99
00011,Civillization II,MicroProse,Realtime stratagey,4.99
00012,Quake,Id Software,1st person shooter,4.99
00013,BioShock Infinite,2k Games,1st person shooter,29.99
00014, The Elder Scrolls IV: Oblivion,2k Games,rpg,19.99
00015,Grim Fandango,Lucas Arts,Adventrure,14.99
00016,Diablo,Blizzard Entertainment,RPG,9.99
00017, Sid Meier's Civilization IV,2k Games,Realtime stratagey,4.99
00018,The Witcher 3: Wild Hunt,Warner Bros. Interactive Ent.,rpg,23.99
00019,Company of heros,THQ,Action,19.99
00020,Unreal Tournament 2004,Atari SA,1st person shooter,14.99
00021,Starcraft II: Wings of Liberty,Blizzard Entertainment,Realtime stratagey,12.48
00022,Minecraft,Mojang AB,building,24.99
00023,Grand theft Auto III,rockstar games,Open World,9.99
00024,Homeworld,Sierra Entertainment,Adventrure,34.99
00025,Star Wars: Knights of the old Republic,Lucas Arts,Action,9.99
00026,World of Warcraft,Blizzard Entertainment,Realtime stratagey,19.99
00027,Grand Theft Auto: San Andreas,rockstar games,Open World,19.99
00028,Call of Duty 4: Modern Warfare,Activision,1st person shooter,19.99
00029,Warcraft III: Reign of Chaos,Blizzard Entertainment,Realtime stratagey,19.99
00030,The Sims,Maxis,simulation,9.99
